ENT_NOM	TOT_CASOS	year	month
Aguascalientes	930150	2020	3
Baja California	2302421	2020	3
Baja California Sur	511732	2020	3
Campeche	386144	2020	3
Chiapas	930065	2020	3
Chihuahua	2478638	2020	3
Ciudad de México	6293443	2020	3
Coahuila de Zaragoza	2377654	2020	3
Colima	450517	2020	3
Durango	896684	2020	3
Guanajuato	2783624	2020	3
Guerrero	763778	2020	3
Hidalgo	923643	2020	3
Jalisco	4939833	2020	3
México	7187874	2020	3
Michoacán de Ocampo	1599161	2020	3
Morelos	819121	2020	3
Nayarit	565328	2020	3
Nuevo León	4153965	2020	3
Oaxaca	784050	2020	3
Puebla	2047495	2020	3
Querétaro	1403570	2020	3
Quintana Roo	1000141	2020	3
San Luis Potosí	1323614	2020	3
Sinaloa	1941121	2020	3
Sonora	1836460	2020	3
Tabasco	774302	2020	3
Tamaulipas	2081571	2020	3
Tlaxcala	474256	2020	3
Veracruz de Ignacio de la Llave	2894609	2020	3
Yucatán	1167297	2020	3
Zacatecas	658587	2020	3
Aguascalientes	920305	2020	4
Baja California	2276372	2020	4
Baja California Sur	501270	2020	4
Campeche	381948	2020	4
Chiapas	903527	2020	4
Chihuahua	2457401	2020	4
Ciudad de México	6172868	2020	4
Coahuila de Zaragoza	2345618	2020	4
Colima	447516	2020	4
Durango	888100	2020	4
Guanajuato	2749008	2020	4
Guerrero	736696	2020	4
Hidalgo	911165	2020	4
Jalisco	4896270	2020	4
México	7012326	2020	4
Michoacán de Ocampo	1594456	2020	4
Morelos	811597	2020	4
Nayarit	557747	2020	4
Nuevo León	4102220	2020	4
Oaxaca	775520	2020	4
Puebla	2026348	2020	4
Querétaro	1383735	2020	4
Quintana Roo	963087	2020	4
San Luis Potosí	1308196	2020	4
Sinaloa	1916901	2020	4
Sonora	1824270	2020	4
Tabasco	758348	2020	4
Tamaulipas	2060204	2020	4
Tlaxcala	469762	2020	4
Veracruz de Ignacio de la Llave	2859002	2020	4
Yucatán	1150322	2020	4
Zacatecas	653608	2020	4
Aguascalientes	907482	2020	5
Baja California	2247246	2020	5
Baja California Sur	480306	2020	5
Campeche	378004	2020	5
Chiapas	906343	2020	5
Chihuahua	2421086	2020	5
Ciudad de México	6111935	2020	5
Coahuila de Zaragoza	2305385	2020	5
Colima	440581	2020	5
Durango	874867	2020	5
Guanajuato	2699661	2020	5
Guerrero	737567	2020	5
Hidalgo	898753	2020	5
Jalisco	4824174	2020	5
México	6981640	2020	5
Michoacán de Ocampo	1571810	2020	5
Morelos	800600	2020	5
Nayarit	542092	2020	5
Nuevo León	4034061	2020	5
Oaxaca	767575	2020	5
Puebla	1996999	2020	5
Querétaro	1362153	2020	5
Quintana Roo	892573	2020	5
San Luis Potosí	1289847	2020	5
Sinaloa	1868580	2020	5
Sonora	1793907	2020	5
Tabasco	754899	2020	5
Tamaulipas	2026248	2020	5
Tlaxcala	464945	2020	5
