no|ooad|mar|abr|may|jun|jul|ago|sep|oct|nov|dic
1|Aguascalientes|99375|574847|814818|2472212|3768181|4983711|4907957|6159772|10862309|7768237
2|BajaCalifornia|2143964|18420639|19819286|26992976|22659137|15535418|15284605|18212341|29288217|45665787
3|BajaCaliforniaSur|117529|762660|649510|1541791|6123995|5276206|3484004|3065655|3295710|3855157
4|Campeche|14964|263917|1051842|3123238|5708230|2410156|1064224|741294|756016|1123927
5|Coahuila|523525|1165910|1007380|5271173|19610748|20752156|14214637|19718085|26702678|21901033
6|Colima|66264|578135|909770|1498441|3396366|4352575|4176228|2581156|1216555|986917
7|Chiapas|238151|2430955|4096565|5470846|5562644|6161356|7246821|27369985|33723456|12331172
8|Chihuahua|136853|706710|2130649|7011060|5026069|1972921|1457008|3900657|5166702|2107710
10|Durango|25974|273385|504003|1402593|2911883|2638339|2328615|4896441|7168085|3343750
11|Guanajuato|204189|795507|1182343|5617991|13007454|10688990|7378811|6994524|11640769|18460390
12|Guerrero|26509|412011|1839090|4718407|3718080|2590245|2690154|2374901|1407958|2026135
13|Hidalgo|40108|328221|757273|2158384|2952549|2893735|2715303|2344006|3027549|5393363
14|Jalisco|571707|2081687|2060225|9983416|18720817|18026131|16409695|16845563|15527011|25442342
15|MéxicoOriente|411605|4695652|13020632|20572794|17416507|12940955|13157530|12692805|1507681|30538301
16|MéxicoPoniente|211794|1250384|3800496|9292175|9248588|7646453|7217921|7462057|8948740|17522138
17|Michoacán|144433|846104|2426500|3832014|4299178|5551738|7738850|5600410|4094811|5154074
18|Morelos|87648|581698|1727261|2444204|2103339|2227721|1934306|1688258|2002184|3604237
19|Nayarit|55016|265539|283474|1265033|3014581|3100725|2703711|2157297|1443660|1626469
20|NuevoLeón|959623|3332327|3201198|9695123|33764857|34530096|27127139|32294836|30266480|27908897
21|Oaxaca|29933|316789|786205|3174627|4451644|3178247|2538947|2019520|1573354|2404944
22|Puebla|115204|719086|1199083|5217613|11756759|8892923|5510023|4645086|4446151|7038840
23|Querétaro|181245|1006921|1053892|2821132|4389973|5984537|6964649|7397105|11337270|16152609
24|QuintanaRoo|85287|1545120|1840419|3125580|9838858|6660696|4188570|3247099|2521534|3623910
25|SanLuisPotosí|110331|445156|477978|1942614|7296399|12012632|10617706|9870694|9731865|9422473
26|Sinaloa|202134|1621119|3793059|12588763|14312351|9898984|7179627|6382170|5048945|4370050
27|Sonora|164580|684735|3136148|16790747|18756538|6973337|4832364|5118398|8472365|11186894
28|Tabasco|41617|1428431|4195694|7528474|10318268|3929465|2063516|1246344|1318970|2034226
29|Tamaulipas|257793|1178167|2134983|15163278|52499895|28826741|14590191|9294487|7974835|9435406
30|Tlaxcala|10865|109829|244666|1159245|2680142|1533586|1023486|873831|911118|1642386
31|VeracruzNorte|98108|1008395|3116074|7331151|11992624|8287112|5965503|3870879|2957489|4274610
32|VeracruzSur|68156|696664|2154191|6815485|11441948|5914269|3290918|2557385|2183475|2524311
33|Yucatán|108900|722355|1566655|3626817|10373437|5780029|2991812|1993507|2077204|2306758
34|Zacatecas|19869|64767|105839|587657|1676039|2621839|2387268|3300248|6244481|5303929
35|DFNorte|398927|2426166|6041409|9464227|9076042|7534074|7429643|7706062|9510152|18001402
36|DFSur|591379|3809227|8724016|11351866|11957064|10651345|10611104|11494271|15023776|27972332
