no|ooad|ene|feb|mar|abr|may|jun|jul|ago|sep|oct|nov|dic
1|Aguascalientes|6853048|3277804|2360589|1599034|930142|551699|1441382|3894332|2529569|1565253|1336963|2170722
2|BajaCalifornia|22775778|5275578|3145246|2557979|3087489|2640545|2638648|6125948|8896857|12090098|19828335|20532833
3|BajaCaliforniaSur|5193539|3312853|1901065|1806052|2543242|9866578|9140978|3400494|1599828|1147886|832243|7079482
4|Campeche|1073455|630981|544722|524038|534015|1764112|2681593|4115718|3264420|1132321|395367|219952
5|Coahuila|23081685|7892940|4250256|301791|2280654|2064011|5718834|16961092|10614886|6067753|5134818|4973297
6|Colima|1777344|1362427|564665|571593|648278|619211|4586390|10854941|4036269|1079783|313164|327393
7|Chiapas|7838263|3894009|5176076|8503627|4914807|2436955|4272849|4002105|2889491|2500764|3853064|8965113
8|Chihuahua|2751202|963897|864771|853277|916194|1556009|6109769|9642158|4340176|1579725|475048|446316
10|Durango|2911204|1065499|1033215|683431|435542|420367|2091102|5354856|1967263|754932|817185|965468
11|Guanajuato|29411263|13018296|5246760|3050341|1833185|1012326|3529327|11296972|11253044|8589523|4527466|4529002
12|Guerrero|3502950|2323155|1217555|1149089|862806|711854|12760932|9448427|1813570|757407|431403|456242
13|Hidalgo|7284898|3417538|2222343|1813213|1201908|1059346|4022623|8762748|3710278|1295749|714024|698795
14|Jalisco|52421867|21306321|8197243|6146967|4481274|4212570|29110023|45714304|26559847|11889563|4759586|5734569
15|MéxicoOriente|38830902|19391636|12894019|8885044|5733307|6336331|28162101|40407011|17253952|7025676|4429443|5713531
16|MéxicoPoniente|21310617|10025331|6332182|4770306|2973173|3259784|10894325|15710905|8222758|3499756|2180491|2217363
17|Michoacán|11666180|6815060|4200470|3450154|2361297|1455493|7609525|15952159|6907657|2266241|991261|886810
18|Morelos|6885882|5662416|4794140|2895047|1582639|979829|2641405|8118092|5601415|2122083|785148|681559
19|Nayarit|2897824|1389952|544703|490097|608346|624439|8530770|8766772|2559039|870437|359638|637381
20|NuevoLeón|44484016|16549651|6765123|4343509|4519944|6474403|27702130|75410937|36844380|11009751|5833840|6142358
21|Oaxaca|3921320|2665567|2064734|1379791|890469|1328230|5451922|8865094|4321995|1990545|738629|564341
22|Puebla|13382630|10221202|8852651|6100906|3840558|2585040|6996294|23422796|16187362|5865713|1958432|1517300
23|Querétaro|18741498|11279793|8618238|5293797|2833899|1377363|6091411|16097298|10358680|4958425|3105993|2271995
24|QuintanaRoo|4562733|2265638|1875308|2939621|5548369|8484409|16515570|13047030|3913466|1571244|551529|7387332
25|SanLuisPotosí|15312506|8153763|3764481|2876791|2180615|1790188|4012131|10733208|5611288|3324775|1890004|2362422
26|Sinaloa|4957041|3138023|2000554|1555146|1463554|4437538|19288913|10910552|3323532|1713973|1184318|1574018
27|Sonora|9845588|3263867|2383339|1975125|1665327|3193065|6253514|8645382|4448046|2299007|3012618|4534392
28|Tabasco|2268440|968673|642502|669573|905845|2503414|3088051|7727690|4060290|1333820|315273|214417
29|Tamaulipas|13272797|7191586|4324211|3355385|4871289|9659774|12880975|21044252|12336972|5011126|2587815|3144576
30|Tlaxcala|3855877|2195164|1369880|939620|579136|358993|947053|4164956|2593951|792369|244847|217453
31|VeracruzNorte|6021268|3529935|2348149|1582707|2135491|4209490|12376202|17670572|6285153|1733815|744971|556350
32|VeracruzSur|4913962|3044548|1978303|1414802|1138860|2199371|10944666|15167416|6262965|2044731|745099|705933
33|Yucatán|2626117|2251048|2097224|1481916|2421132|7885043|8525519|8227269|7586112|3634775|1456463|1729626
34|Zacatecas|4057725|2546131|1845374|1664173|1395892|643718|2164143|4980854|2228706|1084252|695633|1283099
35|DFNorte|20017438|9893020|6879388|4749280|3126097|4558951|16709737|18006295|7916675|3145070|2391266|4765385
36|DFSur|30162676|14044706|9248327|6228745|4252448|6419526|22976553|25297837|10496805|5517345|3397524|7283506
